url,slug,name,price_dkk
https://www.lidl.dk/p/colgate-tandpasta-familiepakke/p10029477,colgate-tandpasta-familiepakke,COLGATE Tandpasta familiepakke,39
https://www.lidl.dk/p/vitalmaxx-minimassagepistol/p10029590,vitalmaxx-minimassagepistol,VITALMAXX® Minimassagepistol,99
https://www.lidl.dk/p/vitasia-wakamesalat/p10029523,vitasia-wakamesalat,VITASIA Wakamesalat,18
https://www.lidl.dk/p/poussin/p10029396,poussin,,
https://www.lidl.dk/p/rsa-prem-fairtrade-chenin-blanc/p10000139,rsa-prem-fairtrade-chenin-blanc,RSA Prem. Fairtrade Chenin Blanc,"30,33"
https://www.lidl.dk/p/esmara-sweatpullover/p10029377,esmara-sweatpullover,,
https://www.lidl.dk/p/fratelli-felice-hvidvin-bib/p10015874,fratelli-felice-hvidvin-bib,Fratelli Felice hvidvin BIB,"30,33"
https://www.lidl.dk/p/malebog/p10029320,malebog,,
https://www.lidl.dk/p/deluxe-mini-isdessert/p10029488,deluxe-mini-isdessert,DELUXE Mini-isdessert,12
https://www.lidl.dk/p/paalaegsslagteren-bacon-sliced/p10025393,paalaegsslagteren-bacon-sliced,Pålægsslagteren Bacon sliced,29.95
https://www.lidl.dk/p/favorina-chokoladeaeg/p10029557,favorina-chokoladeaeg,FAVORINA Chokoladeæg,55
https://www.lidl.dk/p/ajax-original/p10029266,ajax-original,,
https://www.lidl.dk/p/magasin/p10000176,magasin,Magasin,200
https://www.lidl.dk/p/combino-farfalle/p10025489,combino-farfalle,Combino Farfalle,11.95
https://www.lidl.dk/p/deluxe-tempurarejer/p10029486,deluxe-tempurarejer,DELUXE Tempurarejer,35
https://www.lidl.dk/p/livarno-sengesaet-af-mikrofibersatin/p10029578,livarno-sengesaet-af-mikrofibersatin,LIVARNO® Sengesæt af mikrofibersatin,59
https://www.lidl.dk/p/vilstrupgaard-burgerboeffer/p10025549,vilstrupgaard-burgerboeffer,Vilstrupgård Burgerbøffer,44.95
https://www.lidl.dk/p/den-gamle-fabrik-syltetoej/p10029407,den-gamle-fabrik-syltetoej,,
https://www.lidl.dk/p/madvaerket-yoghurt-naturel/p10029459,madvaerket-yoghurt-naturel,MADVÆRKET Yoghurt naturel,12
https://www.lidl.dk/p/nordthy-vaffelroer/p10029468,nordthy-vaffelroer,NORDTHY Vaffelrør,"15,-"
https://www.lidl.dk/p/shiraz-barossa-valley/p10013309,shiraz-barossa-valley,Shiraz Barossa Valley,"30,33"
https://www.lidl.dk/p/madvaerket-yoghurt-vanilje-0-1/p10025419,madvaerket-yoghurt-vanilje-0-1,"MADVÆRKET Yoghurt vanilje 0,1%",15.95
https://www.lidl.dk/p/rsa-shiraz-cabernet-eua/p10000070,rsa-shiraz-cabernet-eua,RSA Shiraz / Cabernet (EUA),"30,33"
